JobSubmissionTime,userID,jobID,JobType,JobDeadline,JobDuration, JobCompletionTime
2023-04-02T14:38:33.901484900,111,222,Conversion,0,0,0
2023-04-02T15:06:26.122335500,333,444,Rendering,20,10,10
2023-04-02T15:07:21.670184100,555,666,Reformatting,30,10,20
2023-04-02T15:09:09.164333300,555,666,Reformatting,30,10,30
2023-04-02T15:36:49.984570200,2,3,Select Job Type,60,10,40
2023-04-03T00:46:51.190800,1234,5678,Conversion,160,120,160
2023-04-03T00:54:28.625375,1234,5678,Rendering,160,120,280
2023-04-16T02:53:29.273948500,111,121,Conversion,200,120,400
2023-04-16T02:55:39.150722,111,121,Conversion,300,200,600
2023-04-16T02:59:02.874281800,111,122,Rendering,60,40,640
2023-04-16T05:44:31.915247200,121,890,Rendering,100,88,728
2023-04-16T07:33:27.291572400,123,456,Conversion,90,78,806
2023-04-17T14:23:30.672823,111,222,Conversion,444,333,1139
